state,year,month,humidity,Wind speed,Temperature,Precipitation,urban_density,Future_dengue,season,dengue_cases
DELHI,2015,1,-0.60015327,-0.565232922,-2.937470867,-0.634831044,1.939487799,15867,winter,158.67
DELHI,2015,2,-1.25618951,-0.576384054,-1.775680219,-0.823902554,1.939487799,15867,winter,158.67
DELHI,2015,3,-0.727618573,-0.255499084,-1.050519764,-0.127862442,1.939487799,15867,Pre_monsoon,634.68
DELHI,2015,4,-1.156847096,-0.452982159,0.381645927,-0.546024729,1.939487799,15867,Pre_monsoon,634.68
DELHI,2015,5,-2.242644849,0.668290415,1.935315257,-0.815047965,1.939487799,15867,Pre_monsoon,634.68
DELHI,2015,6,-1.44742182,0.309737417,1.923819392,-0.256601215,1.939487799,15867,monsoon,2181.71
DELHI,2015,7,0.008299535,0.336492204,1.123792855,0.949272219,1.939487799,15867,monsoon,2181.71
DELHI,2015,8,0.193431922,-0.266739425,0.886993483,0.714017953,1.939487799,15867,monsoon,2181.71
DELHI,2015,9,-0.776398595,-0.10883345,0.73903367,-0.634744235,1.939487799,15867,monsoon,2181.71
DELHI,2015,10,-1.324422274,-0.746327303,0.148715963,-0.789525916,1.939487799,15867,Post_monsoon,2380.05
DELHI,2015,11,-1.431366408,-0.853915405,-0.954512553,-0.845344548,1.939487799,4431,Post_monsoon,2380.05
DELHI,2015,12,-1.861229071,-0.484052682,-2.249123464,-0.852202514,1.939487799,4431,winter,158.67
DELHI,2016,1,-1.719254607,-0.859979639,-2.312045243,-0.860362625,1.939487799,4431,winter,44.31
DELHI,2016,2,-1.967765324,-0.627593127,-1.724853607,-0.847080742,1.939487799,4431,winter,44.31
DELHI,2016,3,-1.655047957,-0.402039824,-0.31245292,-0.675371171,1.939487799,4431,Pre_monsoon,177.24
DELHI,2016,4,-2.256086576,0.386740691,1.221670396,-0.860102196,1.939487799,4431,Pre_monsoon,177.24
DELHI,2016,5,-1.99905806,0.185372065,2.127310951,-0.563039429,1.939487799,4431,Pre_monsoon,177.24
DELHI,2016,6,-1.477374211,0.122176371,2.308491965,-0.407997318,1.939487799,4431,monsoon,609.26
DELHI,2016,7,0.218818935,-0.520687867,1.114031552,1.938034614,1.939487799,4431,monsoon,609.26
DELHI,2016,8,0.782298164,-0.452413204,0.592679673,0.526422208,1.939487799,4431,monsoon,609.26
DELHI,2016,9,-0.143031704,-0.681410865,0.597965289,-0.59385687,1.939487799,4431,monsoon,609.26
DELHI,2016,10,-1.231888216,-0.535258679,0.073645225,-0.820864215,1.939487799,4431,Post_monsoon,664.65
DELHI,2016,11,-1.851828913,-0.335541412,-1.156754105,-0.860536244,1.939487799,9271,Post_monsoon,664.65
DELHI,2016,12,-1.861550425,-0.495293023,-1.963728255,-0.860536244,1.939487799,9271,winter,44.31
