state,year,month,humidity,wind_speed,temperature,precipitation,urban_density,future_dengue,season,dengue_cases,date,lag_dengue_cases_1,lag_dengue_cases_2,lag_dengue_cases_3,lag_dengue_cases_4,lag_dengue_cases_5,lag_dengue_cases_6,lag_dengue_cases_12,lag_temperature_1,lag_temperature_2,lag_temperature_3,lag_temperature_4,lag_humidity_1,lag_humidity_2,lag_humidity_3,lag_humidity_4,lag_precipitation_1,lag_precipitation_2,lag_precipitation_3,lag_precipitation_4,lag_wind_speed_1,lag_wind_speed_2,lag_wind_speed_3,lag_wind_speed_4,roll_mean_dengue_cases_3,lag_tempxhumid_3,month_sin,month_cos,mean_state_dengue_date,avg_neighbor_dengue,outbreak_flag,Future_dengue
DELHI,2015,2,-1.25618951,-0.576384054,-1.775680219,-0.823902554,1.939487799,15867,winter,158.67,2/1/2015,158.67,,,,,,,-2.937470867,,,,-0.60015327,,,,-0.634831044,,,,-0.565232922,,,,158.67,,0.866025404,0.5,75.858,75.858,1,634.68
DELHI,2015,3,-0.727618573,-0.255499084,-1.050519764,-0.127862442,1.939487799,15867,pre_monsoon,634.68,3/1/2015,158.67,158.67,,,,,,-1.775680219,-2.937470867,,,-1.25618951,-0.60015327,,,-0.823902554,-0.634831044,,,-0.576384054,-0.565232922,,,158.67,,1,6.12E-17,303.432,303.432,1,634.68
DELHI,2015,4,-1.156847096,-0.452982159,0.381645927,-0.546024729,1.939487799,15867,pre_monsoon,634.68,4/1/2015,634.68,158.67,158.67,,,,,-1.050519764,-1.775680219,-2.937470867,,-0.727618573,-1.25618951,-0.60015327,,-0.127862442,-0.823902554,-0.634831044,,-0.255499084,-0.576384054,-0.565232922,,317.34,1.762932747,0.866025404,-0.5,303.432,303.432,1,2181.71
DELHI,2015,5,-2.242644849,0.668290415,1.935315257,-0.815047965,1.939487799,15867,pre_monsoon,634.68,5/1/2015,634.68,634.68,158.67,158.67,,,,0.381645927,-1.050519764,-1.775680219,-2.937470867,-1.156847096,-0.727618573,-1.25618951,-0.60015327,-0.546024729,-0.127862442,-0.823902554,-0.634831044,-0.452982159,-0.255499084,-0.576384054,-0.565232922,476.01,2.230590866,0.5,-0.866025404,303.432,303.432,1,2181.71
DELHI,2015,6,-1.44742182,0.309737417,1.923819392,-0.256601215,1.939487799,15867,monsoon,2181.71,6/1/2015,634.68,634.68,634.68,158.67,158.67,,,1.935315257,0.381645927,-1.050519764,-1.775680219,-2.242644849,-1.156847096,-0.727618573,-1.25618951,-0.815047965,-0.546024729,-0.127862442,-0.823902554,0.668290415,-0.452982159,-0.255499084,-0.576384054,634.68,0.764377692,1.22E-16,-1,1043.046,1043.046,1,2181.71
DELHI,2015,7,0.008299535,0.336492204,1.123792855,0.949272219,1.939487799,15867,monsoon,2181.71,7/1/2015,2181.71,634.68,634.68,634.68,158.67,158.67,,1.923819392,1.935315257,0.381645927,-1.050519764,-1.44742182,-2.242644849,-1.156847096,-0.727618573,-0.256601215,-0.815047965,-0.546024729,-0.127862442,0.309737417,0.668290415,-0.452982159,-0.255499084,1150.356667,-0.441505982,-0.5,-0.866025404,1043.046,1043.046,1,2181.71
DELHI,2015,8,0.193431922,-0.266739425,0.886993483,0.714017953,1.939487799,15867,monsoon,2181.71,8/1/2015,2181.71,2181.71,634.68,634.68,634.68,158.67,,1.123792855,1.923819392,1.935315257,0.381645927,0.008299535,-1.44742182,-2.242644849,-1.156847096,0.949272219,-0.256601215,-0.815047965,-0.546024729,0.336492204,0.309737417,0.668290415,-0.452982159,1666.033333,-4.340224791,-0.866025404,-0.5,1043.046,1043.046,1,2380.05
DELHI,2015,9,-0.776398595,-0.10883345,0.73903367,-0.634744235,1.939487799,15867,monsoon,2181.71,9/1/2015,2181.71,2181.71,2181.71,634.68,634.68,634.68,,0.886993483,1.123792855,1.923819392,1.935315257,0.193431922,0.008299535,-1.44742182,-2.242644849,0.714017953,0.949272219,-0.256601215,-0.815047965,-0.266739425,0.336492204,0.309737417,0.668290415,2181.71,-2.784578165,-1,-1.84E-16,1043.046,1043.046,1,2380.05
DELHI,2015,10,-1.324422274,-0.746327303,0.148715963,-0.789525916,1.939487799,15867,post_monsoon,2380.05,10/1/2015,2181.71,2181.71,2181.71,2181.71,634.68,634.68,,0.73903367,0.886993483,1.123792855,1.923819392,-0.776398595,0.193431922,0.008299535,-1.44742182,-0.634744235,0.714017953,0.949272219,-0.256601215,-0.10883345,-0.266739425,0.336492204,0.309737417,2181.71,0.009326958,-0.866025404,0.5,1137.87,1137.87,1,158.67
DELHI,2015,11,-1.431366408,-0.853915405,-0.954512553,-0.845344548,1.939487799,4431,post_monsoon,2380.05,11/1/2015,2380.05,2181.71,2181.71,2181.71,2181.71,634.68,,0.148715963,0.73903367,0.886993483,1.123792855,-1.324422274,-0.776398595,0.193431922,0.008299535,-0.789525916,-0.634744235,0.714017953,0.949272219,-0.746327303,-0.10883345,-0.266739425,0.336492204,2247.823333,0.171572854,-0.5,0.866025404,1137.87,1137.87,0,44.31
